# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1773245509914000000,1773245570114000000,0.0
Indexes.entries.lookupDurationMaxMs,1773245509914000000,1773245570114000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1773245509914000000,1773245570114000000,0.0
Indexes.stubs.lookupDurationAvgMs,1773245509914000000,1773245570114000000,0.0
Indexes.allKeys.lookups,1773245509914000000,1773245570114000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1773245509914000000,1773245570114000000,32
IndexesFlusher.totalFlushingTimeUs,1773245509914000000,1773245570114000000,3135851
lexer.JAVA.size.bytes,1773245509914000000,1773245570114000000,996
parser.JAVA.time.ns,1773245509914000000,1773245570114000000,326115650
parser.JAVA.size.bytes,1773245509914000000,1773245570114000000,996
writeAction.count,1773245509914000000,1773245570114000000,11
writeAction.median.wait.ms,1773245509914000000,1773245570114000000,0
writeAction.max.wait.ms,1773245509914000000,1773245570114000000,3
writeAction.wait.ms,1773245509914000000,1773245570114000000,3
lexer.JAVA.time.ns,1773245509914000000,1773245570114000000,21389556
compiler.ArtifactManagerBridge.initBridges.ms,1773245509914000000,1773245570114000000,1
compiler.ArtifactManagerBridge.dropMappings.ms,1773245509914000000,1773245570114000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1773245509914000000,1773245570114000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1773245509914000000,1773245570114000000,2
compiler.ArtifactManagerBridge.commit.ms,1773245509914000000,1773245570114000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1773245509914000000,1773245570114000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1773245509914000000,1773245570114000000,0
workspaceModel.loading.total.ms,1773245509914000000,1773245570114000000,1949
workspaceModel.update.unloaded.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1773245509914000000,1773245570114000000,15
workspaceModel.collect.changes.ms,1773245509914000000,1773245570114000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1773245509914000000,1773245570114000000,0
workspaceModel.replace.project.model.ms,1773245509914000000,1773245570114000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1773245509914000000,1773245570114000000,18
workspaceModel.cachedValueWithParameters.total.get.ms,1773245509914000000,1773245570114000000,0
workspaceModel.to.snapshot.ms,1773245509914000000,1773245570114000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1773245509914000000,1773245570114000000,1
workspaceModel.cachedValue.total.get.ms,1773245509914000000,1773245570114000000,42
workspaceModel.full.replace.project.model.ms,1773245509914000000,1773245570114000000,15
workspaceModel.updates.count,1773245509914000000,1773245570114000000,3
workspaceModel.cachedValue.calculated.ms,1773245509914000000,1773245570114000000,41
workspaceModel.check.recursive.update.ms,1773245509914000000,1773245570114000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1773245509914000000,1773245570114000000,0
workspaceModel.workspaceFileIndexData.init.ms,1773245509914000000,1773245570114000000,162
workspaceModel.init.bridges.ms,1773245509914000000,1773245570114000000,4
workspaceModel.loading.from.cache.ms,1773245509914000000,1773245570114000000,1922
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1773245509914000000,1773245570114000000,30
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1773245509914000000,1773245570114000000,222
workspaceModel.updates.ms,1773245509914000000,1773245570114000000,152
workspaceModel.updates.precise.ms,1773245509914000000,1773245570114000000,29
workspaceModel.workspaceFileIndexData.getPackageName.ms,1773245509914000000,1773245570114000000,22
workspaceModel.cachedValueWithParameters.from.cache.ms,1773245509914000000,1773245570114000000,0
workspaceModel.cachedValue.from.cache.ms,1773245509914000000,1773245570114000000,1
workspaceModel.workspaceFileIndexData.instances.count,1773245509914000000,1773245570114000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1773245509914000000,1773245570114000000,961
workspaceModel.workspaceFileIndexData.markDirty.ms,1773245509914000000,1773245570114000000,0
workspaceModel.pre.handlers.ms,1773245509914000000,1773245570114000000,1
workspaceModel.cachedValueWithParameters.clear.ms,1773245509914000000,1773245570114000000,0
workspaceModel.initializing.ms,1773245509914000000,1773245570114000000,4
workspaceModel.cachedValue.clear.ms,1773245509914000000,1773245570114000000,0
cacheStateStorage.get.duration,1773245509914000000,1773245570114000000,981
cacheStateStorage.set.duration,1773245509914000000,1773245570114000000,8
cacheStateStorage.set.counter,1773245509914000000,1773245570114000000,3
cacheStateStorage.get.counter,1773245509914000000,1773245570114000000,20
WriteAction.executionsCount,1773245570114000000,1773245630029000000,0
AWTEventQueue.dispatchTimeTotalNS,1773245570114000000,1773245630029000000,8974100930
NonBlockingReadAction.finalizedExecutionTimeUs,1773245570114000000,1773245630029000000,432191
AWTEventQueue.dispatchTimeMaxNs,1773245570114000000,1773245630029000000,0
FlushQueue.executionTime90PNs,1773245570114000000,1773245630029000000,0
AWTEventQueue.dispatchTimeAvgNs,1773245570114000000,1773245630029000000,0.0
FlushQueue.tasksExecuted,1773245570114000000,1773245630029000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773245570114000000,1773245630029000000,0
FlushQueue.waitingTimeMaxNs,1773245570114000000,1773245630029000000,0
FlushQueue.queueSizeAvg,1773245570114000000,1773245630029000000,0.0
NonBlockingReadAction.failedExecutionsCount,1773245570114000000,1773245630029000000,0
FlushQueue.queueSize90P,1773245570114000000,1773245630029000000,0
